#,Action,New,Description,Parameters,Control Required, Example(Values)
37,CLICK_AND_WAIT,-,Clicks an element and wait in seconds,Seconds,Yes,2
38,CLICK_BUTTON_BY_TEXT,-,Clicks button by button name,Button name,No,Save
39,CLICK_BUTTON_BY_TEXT_WHILE_VISIBLE,-,Clicks button by button name while it is visible,Button name{C}optional timeout,No,Save{C}3
40,CLICK_BY_INDEX,-,Clicks by Index,Index,No,Index
41,CLICK_CELL,-,Clicks a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
42,CLICK_CELL_LINK,-,Clicks a link in a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
43,CLICK_CELL_LINK_SWITCH,-,Clicks a link in a table cell then switches to Parent Window,Column name{P}RowIndex,Yes,Asset ID{P}1
44,CLICK_CELL_LINK_SWITCH1,-,Clicks a link in a table cell then switches to Parent Window,Column name{P}RowIndex,Yes,Asset ID{P}1
45,CLICK_CELL_RELATIVE,-,Clicks CELL Relative instead of Center,Column name{P}RowIndex,Yes,Asset ID{P}1
46,CLICK_COLUMN_RIGHT_VAR,*,Clicks right key a specified count using a specified column name,Column name{P}No. of Right keys,Yes,Order Quantity{P}30
47,CLICK_COLUMN_LEFT_VAR,-,Clicks left key a specified count using a specified column name,Column name{P}No. of Left keys,Yes,Order Quantity{P}30
48,CLICK_COUNT,-,Clicks an element a number of times,Click count,Yes,3
49,CLICK_ELEMENT,-,Clicks an element by its x and y,None,Yes,Value not Required
50,CLICK_ELEMENT_BY_TEXT,-,Clicks an element found by text,Text,Yes,Hello World
51,CLICK_ELEMENT_WHILE_TEXT_NOT_VISIBLE,-,Clicks an element while another specified text is not visible,Other Element,Yes,Element Page{C}Element Label
52,CLICK_FIELD_VAR,*,Clicks a text field using a dynamic field name,Dynamic field name,Yes,City/State/ZIP Code
53,CLICK_LINK,-,Clicks a link,Link Text,No,Link text
54,CLICK_MODIFIED_VALUE,-,Modifies an element attribute value by replacing ### with the user defined value,user defined value,No,Value not Required
55,CLICK_ON_TEXT,-,Clicks on text found on page,Text,No,Hello World
56,CLICK_RELATIVE,-,Clicks an element not on the center avoiding black pop up boxes,None,Yes,Value not Required
57,CLICK_TAB_TEXT,-,Clicks tab caption text,Tab Text > Spaces separated by forward slashes,No,Onsite/Devices
58,CLICK_TAB_VAR,*,Clicks Tab by defined value,None,No,Value not Required
59,CLICK_TEXT,-,Clicks an element found by a specific text,Text,No,Hello World
60,CLICKING_TEXT,-,Clicks a Text on current page,Text,No,Hello World
